PSGC,REGION,PROVINCE_FIRE_DISTRICT,CONGRESSIONAL_DISTRICT,CITY_MUNICIPALITY,YEAR,INCIDENTS,INJURIES,DEATHS,ESTIMATED_DAMAGES
104306000,10,MISAMIS ORIENTAL,2ND,CLAVERIA,2014,6,0,0,105000.0
104306000,10,MISAMIS ORIENTAL,2ND,CLAVERIA,2015,10,1,0,214000.0
104306000,10,MISAMIS ORIENTAL,2ND,CLAVERIA,2016,8,0,0,90000.0
104307000,10,MISAMIS ORIENTAL,2ND,EL SALVADOR CITY,2012,8,0,0,70500.0
104307000,10,MISAMIS ORIENTAL,2ND,EL SALVADOR CITY,2013,8,0,0,139500.0
104307000,10,MISAMIS ORIENTAL,2ND,EL SALVADOR CITY,2014,4,0,0,895000.0
104307000,10,MISAMIS ORIENTAL,2ND,EL SALVADOR CITY,2015,13,0,0,586600.0
104307000,10,MISAMIS ORIENTAL,2ND,EL SALVADOR CITY,2016,11,1,0,217200.0
104308000,10,MISAMIS ORIENTAL,1ST,GINGOOG CITY,2012,1,0,0,2000.0
104308000,10,MISAMIS ORIENTAL,1ST,GINGOOG CITY,2013,24,1,1,1432000.0
104308000,10,MISAMIS ORIENTAL,1ST,GINGOOG CITY,2014,15,0,0,1213320.0
104308000,10,MISAMIS ORIENTAL,1ST,GINGOOG CITY,2015,16,0,1,2348360.0
104308000,10,MISAMIS ORIENTAL,1ST,GINGOOG CITY,2016,43,2,2,2034510.0
104309000,10,MISAMIS ORIENTAL,2ND,GITAGUM,2012,0,0,0,0.0
104309000,10,MISAMIS ORIENTAL,2ND,GITAGUM,2013,0,0,0,0.0
104309000,10,MISAMIS ORIENTAL,2ND,GITAGUM,2014,0,0,0,0.0
104309000,10,MISAMIS ORIENTAL,2ND,GITAGUM,2015,1,0,0,18000.0
104309000,10,MISAMIS ORIENTAL,2ND,GITAGUM,2016,1,0,0,5000.0
104310000,10,MISAMIS ORIENTAL,2ND,INITAO,2012,2,0,0,7525000.0
104310000,10,MISAMIS ORIENTAL,2ND,INITAO,2013,6,0,1,130700.0
104310000,10,MISAMIS ORIENTAL,2ND,INITAO,2014,7,0,0,3930000.0
104310000,10,MISAMIS ORIENTAL,2ND,INITAO,2015,9,0,0,328150.0
104310000,10,MISAMIS ORIENTAL,2ND,INITAO,2016,23,0,0,695300.0
104311000,10,MISAMIS ORIENTAL,2ND,JASAAN,2012,7,0,0,610900.0
104311000,10,MISAMIS ORIENTAL,2ND,JASAAN,2013,8,2,1,604000.0
104311000,10,MISAMIS ORIENTAL,2ND,JASAAN,2014,8,0,0,571500.0
104311000,10,MISAMIS ORIENTAL,2ND,JASAAN,2015,14,3,0,314800.0
104311000,10,MISAMIS ORIENTAL,2ND,JASAAN,2016,26,2,0,1034400.0
104312000,10,MISAMIS ORIENTAL,1ST,KINOGUITAN,2012,1,0,0,8000.0
104312000,10,MISAMIS ORIENTAL,1ST,KINOGUITAN,2013,1,0,0,250000.0
104312000,10,MISAMIS ORIENTAL,1ST,KINOGUITAN,2014,0,0,0,0.0
104312000,10,MISAMIS ORIENTAL,1ST,KINOGUITAN,2015,0,0,0,0.0
104312000,10,MISAMIS ORIENTAL,1ST,KINOGUITAN,2016,1,0,0,1000.0
104313000,10,MISAMIS ORIENTAL,1ST,LAGONGLONG,2012,2,0,0,580000.0
104313000,10,MISAMIS ORIENTAL,1ST,LAGONGLONG,2013,0,0,0,0.0
